locu,foursquare
00fd88e4808694fa1e89,4c37b5f6ae2da593a56affc5
5de2f84bda2bbd79a01f,3fd66200f964a520ece41ee3
d89275263ffb1c01145d,40ede000f964a5203c0a1fe3
75cfe2bd7b83d1fb6c59,49c406a8f964a5208d561fe3
b61d490bb396f3c81ebe,4edfa9edd5fbc1bbdd9b43c8
f41a0a1b4ed436983efd,49d10756f964a520535b1fe3
a7e281eb14e6bee3b9c3,4b2137b7f964a5206e3824e3
1f11c3331ceb799b16ef,4ada0a62f964a520a91d21e3
6615552a2319a0c73be3,4f321f3a19836c91c7b829e3
8c709f7fb50211f8099d,44c23335f964a520c0351fe3
9cffab29386ab3abb814,4f32811519836c91c7de3fef
c90fc78a4d719bdca634,510d5cfce4b0b559314c6188
07e5bb89b71033a92ead,50b2e6a8e4b07a713e001a02
3eae1bd69dd33ee6e8b3,4b5203eff964a520756127e3
5f7610c17de2faa80011,43ece77ff964a520482f1fe3
8c6299fc577eb1fdebc3,4ba7ab15f964a520fda739e3
a295158fab11e617203d,4f11dca2e4b0d3f8a5e661ca
f159b60d9c507d90305e,4a92f60df964a520521e20e3
2ba809ed64609193a1e6,4f4cefcbe4b088c4ada2896c
90f1a7cc0e6bf8e13393,40f47780f964a5209b0a1fe3
501e881785633247e7e3,51d4fdea498eef3555473a4d
881383e565b5131b43fc,51c756c6498e7b8d56fa85ae
7b5df6b7891abfab34a3,508bdacbe4b0f6951defb28d
7e593ec3f6bb57e7b957,4ecc6b86f7908e99a1392495
0589ed2093a0f6663db6,4eb5fe456c2590eb885238c8
8e28b33e41086982d658,44dc96e4f964a520b0361fe3
d2a673bae5b9e0af0441,4e440fb7628485fd4c5b6b41
c1bfc1be43779d453a5f,51aa70b5498eb91d32bc1654
b8db2f78bf4def964a83,3fd66200f964a520aae61ee3
a1b151935bf166cd41ae,4ff503ece4b054fba983af0e
d15bb161fd1182354c8b,4ad8ebc1f964a520001621e3
add715c06e26e2376757,4bed6f823372c92858991114
e9fa839672fa2bdac25e,4e1a1f3ed1648b834842ba9f
2703d80fb4030bd96eec,50ca5d56e4b0a8af7601e857
499046b20c7a266b8f7c,4f32406819836c91c7c52b7b
7f9925a07041b6aafe29,4f322d3619836c91c7bdb31c
2eae0e6db285b9ec19ff,4f4d2593e4b00b42c3f1060f
5e052fa25f71dc1927b0,4a91cdccf964a520e01b20e3
d14a7480d6e5cc92aaac,4e4078922271a89dd083d07e
5be7ca603ffa653eea64,4d39d3a4039eb60c288fe59c
34fd7260f2db2c20a243,4a90dbbef964a520a11920e3
20d3e1003eddd55a7600,51f94587498e240e6f3877e6
52d9f396a80b7df3be72,5165b8c2e4b07a7ad83917be
256f5295cf8414ba0809,4c140c40a9c220a143ed569d
c67dbd7a182091fcf26d,4f32396219836c91c7c264ff
5534fe866e17d28e0547,4b8a1c34f964a5205d6032e3
6615552a2319a0c73be3,4f7334ef0cd6952d30830e32
c99ae35e728614b59af0,4b7c6881f964a52084912fe3
98bf08ab9d506d862789,4e4e4909bd4101d0d7a6d85a
91a694299efb7c006573,4a704cebf964a52045d71fe3
9c57895647b9e433227d,4d8b5d55f607a093f02e1287
2de29d2a0a9510460dc4,4ddf08fc813072807d471b58
8fe468fd0c20bdb93c3f,4fbe6828e4b09976861dca54
30dc1849e809842ddf9d,4ad0b65bf964a52048d920e3
5539fe7435ba1f9046bb,4f321e1419836c91c7b7ad7b
8c8ee0cbd50146e49676,50ea27dee4b0a168ba2a97c4
dbff155162a04485b8eb,50bf71f9e4b03b1879e6f733
214d487cd48b3575c0c7,4bf69897004ed13a65b342a0
5c3a23b32f73b549cee8,4f32596a19836c91c7cf0289
0ba6612cfe01cf09a21c,505cccd8e4b06ee0cba4a47d
37755df0fcdd7de21941,4dca7fde1f6e28126777d908
851e39b9058a0ff8c07c,509d636d5d2463e871548042
22019cba8af673fb06bb,4e4c3bc4bd413c4cc667d7c6
6fc2b1c0e2f00f1a38fb,4c1436d57f7f2d7f8f95e068
963046dd60f8c6afc006,3fd66200f964a520a6e31ee3
817d5c7c70f675945e92,4f32381919836c91c7c1e081
3ce5c112b5b9c6130586,4a7856dcf964a5206ce51fe3
a7b5a3e45020e7d2c451,4a95b175f964a5202a2420e3
c415077b9c5a519d607f,4bea99606295c9b6fc8e8608
b483c215eb6ef7461d1f,4bea99606295c9b6fc8e8608
2ee7daea7123d316af41,4ea73e7cb8034ce4bcc4b8d9
85190e0545c064352980,4f32923a19836c91c7e4c8d8
ddc8fff24bf02c7c91b2,4b0c8ce0f964a520243f23e3
b9b121eaa2dc3dd570ef,4be7a8b1d837c9b6ed79a406
bacd13008b97d7f171bd,4ba261cbf964a52050f337e3
182e0a1825b7bb7869ff,4bedb6b1767dc9b6045cd3e9
d13d1f7949747dcf68ff,4b983573f964a520523435e3
0fa2115af57264ad8b67,4c685945f984a59382c349f4
0c5d6be79a2b96456b61,4e93a37b29c2e7c7fe50817d
6cd1cff657b713808dcc,4f4487ee19836ed00194b706
53626df4972129877165,4f4487ee19836ed00194b706
219c994dcc53f891ec26,506b6162e4b02bda7fc846ee
612a0d8004ac94ad4abc,4b17e419f964a52051c923e3
f662465117c1bbc6d424,4c2a807d57a9c9b68a99f467
67fcb64a872926330a28,5010b169e4b05edd9983ec7d
5f315252d5a2c497aa54,4af73d00f964a520830722e3
76d0aa9cb52d219e0a7e,4f32475e19836c91c7c7f95b
6791f0170e0901a542be,4f32adf919836c91c7ef344a
0549adc9c4d1794a2c3b,4f3260e119836c91c7d1efb7
ed3932572cd4a0cc11e8,49f15227f964a520a5691fe3
3a3adf2534e05d8fcca2,3fd66200f964a5202ceb1ee3
47df52eb6560e66d8d88,4f2eb31c4fc63140dad78cef
ca8cb431b88c79cd8e18,4b292040f964a520459924e3
94dde2f8b77474227fd6,4e6bb22d483bf2d9e6c34aed
67fcb64a872926330a28,5130f64de4b0772809f9c8ac
054b8b215891c54f41a8,4c59c8d1f346c9286c704dca
bb19fa24ef5f523a89f4,43ed614ef964a5204d2f1fe3
0fdfcd65c3a34afbf20f,4bad4d20f964a520cf433be3
1c8291106aaefc0771db,4b538edff964a52032a227e3
816cc9441f491d5c77dd,3fd66200f964a52057e51ee3
29c2699049b9aab452ec,3fd66200f964a520bce41ee3
aa0d24e7f2292b74363c,4c4dbc2d0d90b71382c38f78
1d2cfd018c467366d361,4b849516f964a520d33c31e3
c415077b9c5a519d607f,5134fe3a5d2462254ac005d7
8730c7da1759ee4c099a,5134fe3a5d2462254ac005d7
b483c215eb6ef7461d1f,5134fe3a5d2462254ac005d7
6cd1cff657b713808dcc,4e4ce44fbd413c4cc66d010d
bb6dac44e81f06b17984,3fd66200f964a52073e81ee3
77cb2d237b610f970235,4af20d41f964a52080e521e3
1e775603ae510e502067,4f32912719836c91c7e46106
19dcca7694e2afa4c81a,4cba161bbac93704c43de97c
9a71caff1475dbe2605a,4f32495519836c91c7c8bea6
6d9c0d4b1a6ffc903194,506755d4e4b05564fbaf3c44
4faee22788686f7cd8f6,4ebb43067ee5cb25a56a329d
1118ef421cd2528394ae,4d25f59dd2668cfa6a61c3db
4704d5bb6bfb1b9a3bb2,4e4c4df0bd413c4cc6685d62
73c7a1ce97235bc61590,4f32917119836c91c7e47d34
68f314d59fe3bae2bf28,4f32349819836c91c7c08b2e
40804c0726835e705b24,4ed296320e61efa333ad8c6b
c4ec8fa29a9bcb9105f9,44e9b421f964a520a5371fe3
e9f7d177a35de4a21421,5029935fe4b0be6a06a0383e
10c305af216c07f348e5,4f32822f19836c91c7deab31
1223c14286efdcde038b,3fd66200f964a520e5e31ee3
cc92bca1a1d561f94fca,4b213765f964a520663824e3
cb3e7c4e08ad3517cbd0,4cac8183d971b1f79b0331e1
c3239d2bf8a6eaf2ba43,4c88341f94f5a093ce2ace1e
d6630edfc2157fb39f44,4f9dcacde4b09fef549cbb5e
c4776eec313861c66aa0,4b6b1845f964a52073f22be3
5b561d72370d35347e3c,4b6b1845f964a52073f22be3
f3939e2677c7b939ca50,4e20edcb1495f18f0349b029
fd02bb3b23be2c34ddb9,5039761de4b0f3363ccf3449
d8ec03cf818626ee599f,4bda320cc79cc928c4017ee9
d505d216e5990cdd1500,50a2966fe4123a6ab3b9272d
65523c954537a0f3e211,4ce94baab5c35941b8a4698f
ce08653793ec9e3bb36c,4cc6d9f39e0dbfb7262d729a
fcde8f5648cc762b1850,3fd66200f964a52051e81ee3
7afbbb5d419e24c1352c,4e1c771652b1c2b69f352f82
22ff944ad55370c00c98,4af5d67bf964a52093fd21e3
708e0b1a77a886d85497,49b811a1f964a52035531fe3
e450cd9a44301f598fc3,520a0e2a11d2957a61bd111f
ad3c6ccbf68b1fc8ae90,4f32036f19833175d609b8ee
20d60ae1a8925e119f50,4b4b4d6af964a520ef9626e3
5ee85b8720fe68b892cf,4aa5ae24f964a520254920e3
284b7ad91a8d7f62660c,51fc4c06498ea67cd3f75a8a
270713ebe9c60e589b78,51b7c745498ecd5bb6262581
5d3796c3a56f2c5fd95f,4f321aa919836c91c7b64363
dce89e4493504597e50e,4a77196ff964a52093e31fe3
74c7fe253b69beb1b7d7,4af761edf964a520e90822e3
0a036f1cd6e767160197,4f32154f19836c91c7b413c8
e568dd1c6c56a06407e7,4a0fc2fbf964a52083761fe3
0b3d4baf1282152bd007,511c5fd9e4b021215984b814
33d19eb757f4bf90bb36,4b8535caf964a520f45031e3
af9917617e33c3305471,4b2ef4dbf964a520b5e824e3
c415077b9c5a519d607f,4bdc4bfdfed22d7f649a57c9
b483c215eb6ef7461d1f,4bdc4bfdfed22d7f649a57c9
6d177ce7b2dc66937d35,3fd66200f964a520c7e71ee3
04263db1f752e5a73b4d,4f6f85a2e4b0541c6356520a
d34407500c7d02b4fcd3,4f321f2419836c91c7b820df
857a3a752d574c90d3f5,51476ad2c84cea9d0188385b
1c8b3d9c1001f294ee1f,4e8263f49adf0a7b336506e6
398f1bb102f6d86720c8,4de43d0345dd180ae5719eb9
ed3932572cd4a0cc11e8,49d7dbf5f964a5206c5d1fe3
063c03b6ee49cbe61a30,5019b64ee4b0056e4fb3ebda
172076133eb13d6f8ca8,4e0e6550c65ba20da2206031
881383e565b5131b43fc,4ba245f2f964a520d0e837e3
1372726dcf5611fcfa37,4ba245f2f964a520d0e837e3
2824c8d3aa45422bc171,4b857296f964a5208e5e31e3
0d90cb9f525b73e9318c,4f7b3fd9e4b0d7b576d81991
c6e529b125fbad0a11f9,4f32b83b19836c91c7f3073f
c7c0f9f074d700f8ee0f,50eb0e3ce4b0d6d8c387a27d
2c3b79947fd842faa64d,4c2f91dd16adc92880ccbd9c
f285733843e78bbb6a14,4e4cd25abd413c4cc66c6efe
f1c17749ff3d39af1c8c,4366b000f964a52073291fe3
b98c9870c77ce36d2d19,4ab254a7f964a520f16a20e3
